goods_code,hier_pos,language,description
0202305081,10,FR,"destinées à la fabrication de produits relevant des sous-positions 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)"
0202305081,10,FR,de bison
0202305082,10,FR,autres
0202305083,10,FR,"destinées à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)"
0202305083,10,FR,de bison
0202305084,10,FR,autres
0202305085,10,FR,autres
0202305085,10,FR,de bison
0202305086,10,FR,autres
0202305087,10,FR,autres
0202305087,10,FR,de bison
0202305088,10,FR,autres
0202309000,8,FR,autres
0202309011,10,FR,de haute qualité
0202309011,10,FR,de bison
0202309015,10,FR,autres
0202309041,10,FR,autres
0202309041,10,FR,Viandes de buffle congelées
0202309041,10,FR,destinées à la transformation
0202309041,10,FR,"destinées à la fabrication de produits relevant sous-positions 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)"
0202309041,10,FR,de bison
0202309042,10,FR,autres
0202309043,10,FR,"destinées à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)"
0202309043,10,FR,de bison
0202309044,10,FR,autres
0202309045,10,FR,autres
0202309045,10,FR,de bison
0202309046,10,FR,autres
0202309047,10,FR,autres
0202309047,10,FR,de bison
0202309048,10,FR,autres
0202309070,10,FR,autres
0202309070,10,FR,destinées à la transformation
