goods_code,hier_pos,language,description
0206299179,10,EN,Other
0206299191,10,EN,Other
0206299191,10,EN,Of bison
0206299199,10,EN,Other
0206299900,8,EN,Other
0206300000,6,EN,"Of swine, fresh or chilled"
0206300010,10,EN,Of domestic swine
0206300090,10,EN,Other
0206410000,6,EN,"Of swine, frozen"
0206410000,6,EN,Livers
0206410010,10,EN,Of domestic swine
0206410090,10,EN,Other
0206490000,6,EN,Other
0206800000,6,EN,"Other, fresh or chilled"
0206801000,8,EN,For the manufacture of pharmaceutical products
0206809100,8,EN,Other
0206809100,8,EN,"Of horses, asses, mules and hinnies"
0206809900,8,EN,Of sheep and goats
0206900000,6,EN,"Other, frozen"
0206901000,8,EN,For the manufacture of pharmaceutical products
0206909100,8,EN,Other
0206909100,8,EN,"Of horses, asses, mules and hinnies"
0206909900,8,EN,Of sheep and goats
0207000000,4,EN,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen"
0207110000,6,EN,Of fowls of the species Gallus domesticus
0207110000,6,EN,"Not cut in pieces, fresh or chilled"
0207111000,8,EN,"Plucked and gutted, with heads and feet, known as '83|%|chickens'"
0207113000,8,EN,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '70|%|chickens'"
0207119000,8,EN,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '65|%|chickens', or otherwise presented"
0207120000,6,EN,"Not cut in pieces, frozen"
0207121000,8,EN,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '70|%|chickens'"
0207129000,8,EN,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '65|%|chickens', or otherwise presented"
0207130000,6,EN,"Cuts and offal, fresh or chilled"
0207131000,8,EN,Cuts
0207131000,8,EN,Boneless
0207132000,8,EN,With bone in
0207132000,8,EN,Halves or quarters
0207133000,8,EN,"Whole wings, with or without tips"
0207134000,8,EN,"Backs, necks, backs with necks attached, rumps and wing-tips"
0207135000,8,EN,Breasts and cuts thereof
0207136000,8,EN,Legs and cuts thereof
0207137000,8,EN,Other
0207139100,8,EN,Offal
0207139100,8,EN,Livers
0207139900,8,EN,Other
0207140000,6,EN,"Cuts and offal, frozen"
0207141000,8,EN,Cuts
0207141000,8,EN,Boneless
0207142000,8,EN,With bone in
0207142000,8,EN,Halves or quarters
0207143000,8,EN,"Whole wings, with or without tips"
0207144000,8,EN,"Backs, necks, backs with necks attached, rumps and wing-tips"
0207145000,8,EN,Breasts and cuts thereof
0207146000,8,EN,Legs and cuts thereof
0207147000,8,EN,Other
0207149100,8,EN,Offal
0207149100,8,EN,Livers
0207149900,8,EN,Other
0207240000,6,EN,Of turkeys
0207240000,6,EN,"Not cut in pieces, fresh or chilled"
0207241000,8,EN,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '80|%|turkeys'"
0207249000,8,EN,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '73|%|turkeys', or otherwise presented"
0207250000,6,EN,"Not cut in pieces, frozen"
0207251000,8,EN,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '80|%|turkeys'"
0207259000,8,EN,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '73|%|turkeys', or otherwise presented"
0207260000,6,EN,"Cuts and offal, fresh or chilled"
0207261000,8,EN,Cuts
0207261000,8,EN,Boneless
0207262000,8,EN,With bone in
0207262000,8,EN,Halves or quarters
0207263000,8,EN,"Whole wings, with or without tips"
0207264000,8,EN,"Backs, necks, backs with necks attached, rumps and wing-tips"
0207265000,8,EN,Breasts and cuts thereof
0207266000,8,EN,Legs and cuts thereof
0207266000,8,EN,Drumsticks and cuts of drumsticks
0207267000,8,EN,Other
0207268000,8,EN,Other
0207269100,8,EN,Offal
0207269100,8,EN,Livers
0207269900,8,EN,Other
0207270000,6,EN,"Cuts and offal, frozen"
0207271000,8,EN,Cuts
0207271000,8,EN,Boneless
0207272000,8,EN,With bone in
0207272000,8,EN,Halves or quarters
0207273000,8,EN,"Whole wings, with or without tips"
0207274000,8,EN,"Backs, necks, backs with necks attached, rumps and wing-tips"
0207275000,8,EN,Breasts and cuts thereof
0207276000,8,EN,Legs and cuts thereof
0207276000,8,EN,Drumsticks and cuts thereof
